Survey ResponseID,Prime,Free Trial,Email CTC,Display Ad CTC,Video Ad CTC,Search Engine Ad CTC,Social Media Ad CTC,Average CTC,Express Shipping,Cart Abandonment Rate,Check Review,Refund rate,Time in Cart,Time on Page,RFM
R_03aEbghUILs9NxD,0,0,0.0,0.15250504446849816,0.0,0.0845066716285348,0.0,0.04947137572235971,0.35714285714285715,0.7336925006264347,0,0.24399407096795117,7.039021349652886,0.4692680899768591,111
R_06RZP9pS7kONINr,1,1,0.022100710098110644,0.0,0.0,0.0,0.0,0.0,1.0,0.7096845117434275,1,0.17041701180273466,45.151821463762815,3.010121430917521,323
R_085qq7w0pkhowox,1,1,0.14207901541223245,0.02537449056180197,0.0,0.0,0.010455328521618198,0.03606042742247814,1.0,0.7195128646370637,1,0.3067208757385979,19.75118540318174,1.3167456935454493,322
R_08uYA7fb4unHGkF,1,1,0.0,0.0,0.061927408228452524,0.0,0.0,0.0,1.0,0.6451223402492647,0,0.11895972890754757,13.6941383066393,0.9129425537759532,223
R_0BrMxYYMHVMOBEJ,1,1,0.0,0.0,0.11863898883075677,0.04660187970809041,0.0,0.035159777108541915,1.0,0.8327934295600391,0,0.3437231336355265,2.544373056935194,0.16962487046234628,212
R_0D6GtQwa6VcnXpv,1,1,0.0,0.16649617801141453,0.016856714323155917,0.0,0.0,0.0390031205879149,1.0,0.6337669991226653,0,0.08498179267630708,2.5439443787190776,0.16959629191460518,331
R_0D6LkYgiPcEN117,1,1,0.0,0.012325259318214423,0.0,0.0,0.0,0.0,1.0,0.7740541536366383,0,0.3630491295241221,0.8975815291302102,0.059838768608680676,313
R_0DoXqOQl0hxEeFH,1,1,0.033096594308553544,0.0,0.0,0.02932299403508392,0.0,0.0,1.0,0.6716439466436853,1,0.1272320617852544,30.16846296719909,2.0112308644799395,332
R_0InTWTWokrqzy3n,1,1,0.0,0.0,0.006333504051178969,0.12540806813594205,0.08381219430471153,0.04703123696851559,1.0,0.6972414935471725,0,0.13719488628559773,13.786232304408967,0.9190821536272645,322
R_0UsrHmkw7rRzoeB,1,1,0.042086827528943695,0.0,0.02288553689888868,0.0,0.0,0.0,1.0,0.7729552518205891,1,0.24166033795567332,18.468750925568855,1.2312500617045903,323
R_0c8VclJcriEXQqZ,0,1,0.028938064108664088,0.0,0.0,0.0,0.0,0.0,0.5842696629213483,0.8106823548809589,0,0.3630380981863208,0.3119896199870793,0.020799307999138622,122
R_0dNGfZ4GvtFvxu1,1,1,0.15658839696066612,0.0,0.0,0.0,0.0,0.03511619251272755,1.0,0.6256447995424257,1,0.06713846376554916,52.55336212737468,3.503557475158312,322
R_0dgKWjG8E9DtkfD,0,0,0.0,0.0,0.0,0.0,0.010609565328314419,0.0,0.4857142857142857,0.7235925712217415,1,0.25233232081505974,26.796443150320126,1.786429543354675,322
