Survey ResponseID,Prime,Free Trial,Email CTC,Display Ad CTC,Video Ad CTC,Search Engine Ad CTC,Social Media Ad CTC,Average CTC,Express Shipping,Cart Abandonment Rate,Check Review,Refund rate,Time in Cart,Time on Page,RFM,Recency_category,Frequency_category,Monetary_category,Pct Discount,Category,Cat_Urgency,Cat_Impulse,Cat_Indecisive,Cat_Category,Cat_Discount,Cat_Engagement,Cat_High_Value_F,Cat_High_Value_M
R_03aEbghUILs9NxD,1,1,0.0,0.037819103602285,0.0,0.0,0.0,0.0,1.0,0.7336925006264347,0,0.2439940709679511,7.039021349652886,0.4692680899768591,111,1,1,1,0.5625,,0,1,0,0,1,1,0,0
R_06RZP9pS7kONINr,1,1,0.0731565088614738,0.028239057764781,0.0,0.0506994352553911,0.0,0.030435657491432,1.0,0.7096845117434275,1,0.1704170118027346,45.151821463762815,3.010121430917521,323,3,2,3,0.458128078817734,,0,0,0,0,1,1,0,1
R_085qq7w0pkhowox,1,1,0.0,0.0,0.0,0.0,0.0656265624237048,0.0,1.0,0.7195128646370637,1,0.3067208757385979,19.75118540318174,1.3167456935454491,322,3,2,2,0.4548611111111111,,0,0,0,0,1,1,0,0
R_08uYA7fb4unHGkF,1,1,0.0,0.0,0.0727662886413325,0.0,0.0,0.0,1.0,0.6451223402492647,0,0.1189597289075475,13.6941383066393,0.9129425537759532,223,2,2,3,0.3820224719101123,,0,1,0,0,0,1,0,1
R_0BrMxYYMHVMOBEJ,1,1,0.0,0.0,0.0,0.0360279045761648,0.0,0.0,1.0,0.8327934295600391,0,0.3437231336355265,2.544373056935194,0.1696248704623462,212,2,1,2,0.3809523809523809,,0,1,0,0,0,1,0,0
R_0D6GtQwa6VcnXpv,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6337669991226653,0,0.084981792676307,2.5439443787190776,0.1695962919146051,331,3,3,1,0.4245014245014245,,0,1,0,0,1,0,1,0
R_0D6LkYgiPcEN117,0,1,0.0356426643552908,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.7740541536366383,0,0.3630491295241221,0.8975815291302102,0.0598387686086806,313,3,1,3,0.4074074074074074,Electronics,0,1,0,1,1,1,0,1
R_0DoXqOQl0hxEeFH,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6716439466436853,1,0.1272320617852544,30.16846296719909,2.0112308644799395,332,3,3,2,0.4295532646048109,,0,0,0,0,1,0,1,0
R_0InTWTWokrqzy3n,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6972414935471725,0,0.1371948862855977,13.786232304408967,0.9190821536272644,322,3,2,2,0.4464285714285714,,0,1,0,0,1,0,0,0
R_0UsrHmkw7rRzoeB,1,1,0.0,0.271477825001897,0.0,0.0,0.0,0.0568507021573846,1.0,0.7729552518205891,1,0.2416603379556733,18.46875092556885,1.2312500617045905,323,3,2,3,0.4397759103641456,,0,0,0,0,1,1,0,1
R_0c8VclJcriEXQqZ,0,1,0.0407208969318038,0.0,0.0,0.0,0.0,0.0,0.4943820224719101,0.8106823548809589,0,0.3630380981863208,0.3119896199870793,0.0207993079991386,122,1,2,2,0.3214285714285714,,0,1,0,0,0,1,0,0
R_0dNGfZ4GvtFvxu1,1,1,0.0,0.0263999323077812,0.0,0.0,0.0,0.0,1.0,0.6256447995424257,1,0.0671384637655491,52.55336212737468,3.503557475158312,322,3,2,2,0.4375,,0,0,0,0,1,1,0,0
R_0dgKWjG8E9DtkfD,1,1,0.0,0.0,0.0,0.0,0.0138387367731017,0.0,1.0,0.7235925712217415,1,0.2523323208150597,26.79644315032013,1.786429543354675,322,3,2,2,0.3959537572254335,,0,0,0,0,0,1,0,0
R_0exEFdj5YTDEgqB,0,0,0.0641537650889224,0.0,0.0,0.0,0.0,0.0,0.5609756097560976,0.7193100188725517,0,0.1859315938672047,3.580314378734205,0.238687625248947,322,3,2,2,0.413953488372093,,1,1,0,0,1,1,0,0
R_0f8u2tSB99LkgCt,1,1,0.0511822673260872,0.0,0.0,0.0,0.0,0.0,1.0,0.6099515361916886,0,0.1045115842972603,3.0101848312449504,0.2006789887496633,332,3,3,2,0.4197860962566845,,0,1,0,0,1,1,1,0
R_0icLDXwMGw8dAqd,1,1,0.0,0.0,0.0,0.0,0.0547940944174135,0.0,1.0,0.7427138175982686,0,0.239296245171457,3.039171342483856,0.202611422832257,223,2,2,3,0.5027624309392266,,0,1,0,0,1,1,0,1
R_0ik28Zx98AWSuWd,1,1,0.0,0.0,0.0,0.0208583926594993,0.0,0.0,1.0,0.6298749740277825,0,0.1010830787140793,5.4413059419071566,0.3627537294604771,333,3,3,3,0.4631117604090577,,0,1,0,0,1,1,1,1
R_0jFt3K3i4558lbj,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6876018216458234,0,0.2402168998319147,11.158917462912816,0.7439278308608545,333,3,3,3,0.3996539792387543,,0,1,0,0,0,0,1,1
R_0lebhxAsUG3SsAp,1,1,0.0329598854636952,0.0,0.0,0.027727724048907,0.0,0.0,1.0,0.6873264372751546,0,0.1164294420817805,8.48305600170505,0.5655370667803367,213,2,1,3,0.375,,0,1,0,0,0,1,0,1
R_0oBzc3D8v94kGiZ,1,1,0.3119949671965156,0.0,0.0,0.0,0.0,0.0642029717061535,1.0,0.6954048595452309,0,0.1443320671465262,5.163344888309123,0.3442229925539415,222,2,2,2,0.3451776649746192,,0,1,0,0,0,1,0,0
R_0pRmRjHkwStzNQJ,1,1,0.0302772950736314,0.0,0.0,0.0,0.0428453665682383,0.0,1.0,0.6512072511443918,0,0.1984407069964009,14.19556310849698,0.9463708738997988,332,3,3,2,0.4122905027932961,,0,1,0,0,1,1,1,0
R_0pwPNbvgpZlir2V,0,1,0.0,0.0199618395280372,0.0,0.0,0.0,0.0,0.25,0.7606600705346008,0,0.2603142275911655,2.25351793091008,0.1502345287273386,213,2,1,3,0.4318181818181818,,0,1,0,0,1,1,0,1
R_10AYiyZ8qGWd6td,1,1,0.0631864396264043,0.0,0.0,0.0,0.0,0.0,1.0,0.5972696154753218,0,0.1207696698354018,5.182732680036034,0.3455155120024022,213,2,1,3,0.4347826086956521,,0,1,0,0,1,1,0,1
R_10AtO7bUfe8iWYK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4590909090909091,0.7276342415628061,0,0.2076439456854859,6.844158273312706,0.456277218220847,232,2,3,2,0.3827493261455525,,0,1,0,0,0,0,1,0
R_10GfwNctrOL9e2t,1,1,0.0363758045296335,0.0173503611175832,0.0108189965145503,0.0771507219518487,0.0185548336588388,0.0320501435544909,1.0,0.6699452414869992,0,0.1466292984757158,9.134020317896624,0.608934687859775,332,3,3,2,0.4158790170132325,,0,1,0,0,1,1,1,0
R_10HuhR86y7hZJYL,1,1,0.1011536440258523,0.0196382919294281,0.0058949472718739,0.1141911500657913,0.2109134809040347,0.0903583028393961,1.0,0.7024916185038812,1,0.1260571618958081,23.06904016546368,1.537936011030912,323,3,2,3,0.3925501432664756,,0,0,0,0,0,1,0,1
R_10JcbruZLDf9fy2,1,1,0.0517844419226051,0.0345184567110091,0.0,0.0410971849060244,0.0541704145616437,0.036648030298299,1.0,0.7207011457593371,0,0.2622597156054038,3.3410379319303543,0.2227358621286903,322,3,2,2,0.3784615384615384,,0,1,0,0,0,1,0,0
R_10MFxyIhsIDW0nP,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4731182795698925,0.6434967269316381,0,0.1510142551132545,10.830437325496916,0.7220291550331277,322,3,2,2,0.4039087947882736,,0,1,0,0,1,0,0,0
R_10PDLObOugOU8tc,0,1,0.0,0.0,0.0338999520843105,0.0,0.0,0.0,0.4186046511627907,0.6950875456572125,0,0.1292458105314545,13.462570819646407,0.8975047213097606,312,3,1,2,0.3804347826086957,,0,1,0,0,0,1,0,0
R_10Uv2LWb4NJfaPq,1,1,0.1248238914773525,0.0,0.0,0.0,0.0,0.0275052779295304,1.0,0.6995421406276019,0,0.2004333332511056,0.7134577463461281,0.0475638497564085,113,1,1,3,0.44,,0,1,0,0,1,1,0,1
R_10VPzfUmqBTJEiC,1,1,0.0,0.049188005263688,0.0,0.0,0.0392966167066376,0.0,1.0,0.6669850163524759,0,0.0747213255131661,14.029995309744152,0.93533302064961,332,3,3,2,0.4177396280400572,,0,1,0,0,1,1,1,0
R_10YnFpDzlwQlmrX,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6694658122571405,0,0.1500336476520005,2.8044187796612463,0.1869612519774164,322,3,2,2,0.4274809160305343,,0,1,0,0,1,0,0,0
R_10qrHohvVyRhmA4,1,1,0.0,0.0,0.0327899046481335,0.0,0.0,0.0,1.0,0.7199228640142146,0,0.2139304009902465,1.0089589631895637,0.0672639308793042,233,2,3,3,0.412303664921466,,0,1,0,0,1,1,1,1
R_10rsQ6SV3iE7hfu,1,1,0.0423073152846708,0.0,0.0,0.0374910656781595,0.0,0.0,1.0,0.6096740990668993,1,0.0392722012152449,44.60531690260396,2.973687793506931,322,3,2,2,0.403076923076923,,0,0,0,0,1,1,0,0
R_10wSqGFumZGSTmH,1,1,0.0413622455325252,0.0,0.1208672132378876,0.0906143449537551,0.0,0.0525193709583373,1.0,0.5439592851887944,1,0.1035950381978849,50.55945513691759,3.3706303424611725,122,1,2,2,0.3882783882783883,,0,0,0,0,0,1,0,0
R_111J2YLIGckNIeJ,1,1,0.0,0.0169823196111317,0.0122772173308199,0.0408438297183651,0.0,0.0,1.0,0.6750196464009378,1,0.1512844765174786,24.78497359219315,1.652331572812877,322,3,2,2,0.4617737003058104,Home,0,0,0,1,1,1,0,0
R_111Pbqb8YG1rP4o,1,1,0.1363510412103375,0.0,0.0332464549766351,0.0378604648353457,0.0248426484450063,0.0476738013432648,1.0,0.7033959420002143,0,0.2616107019429393,5.449317899531375,0.3632878599687583,321,3,2,1,0.4514925373134328,,0,1,0,0,1,1,0,0
R_11XEE8cl6xnH3oW,0,1,0.0478364476386175,0.0514176747097662,0.0,0.0311484617671825,0.0,0.0261348785252479,0.5,0.8367869656049137,0,0.4552941054124637,1.5416597250375936,0.1027773150025062,311,3,1,1,0.4230769230769231,,1,1,0,0,1,1,0,0
R_11ZpeDj8UiavB9G,0,1,0.0,0.0,0.0,0.0496549136270846,0.0463186418791042,0.0201273494116107,0.5272727272727272,0.6986167731797367,0,0.1120863069738999,17.291261446479925,1.1527507630986618,121,1,2,1,0.4367816091954023,,1,1,0,0,1,1,0,0
R_11cJ3be1pQV32hb,0,1,0.0,0.0813672069890003,0.0,0.0,0.0,0.0205394535039049,0.5466666666666666,0.623097479623032,0,0.0565107228348721,8.701362638780974,0.5800908425853983,222,2,2,2,0.375,,1,1,0,0,0,1,0,0
R_11gymhOPZz4baOa,1,1,0.0,0.0,0.0,0.0627505286157453,0.0,0.0,1.0,0.551695104485194,0,0.0655563523500923,1.9522835093167297,0.1301522339544486,331,3,3,1,0.4228675136116152,,0,1,0,0,1,1,1,0
R_11i7d5PEuwRPPSj,0,1,0.1288899620835831,0.0,0.0071184190499694,0.0,0.0,0.0278616073604428,0.5294117647058824,0.690892205914709,0,0.1217640065346043,10.253208422012252,0.6835472281341501,311,3,1,1,0.4285714285714285,,1,1,0,0,1,1,0,0
R_1252079aMA9rWUV,1,1,0.0,0.0,0.0,0.0327972791115218,0.0320269466624476,0.0,1.0,0.8109783141206945,0,0.3626996560486331,0.5249058216521862,0.034993721443479,222,2,2,2,0.4071856287425149,Toys and Games,0,1,0,1,1,1,0,0
R_128SoytOm4LO2kk,0,1,0.0470937860514628,0.0,0.2105240742668063,0.0,0.0409265055422126,0.0597397328017343,0.5064935064935064,0.6112513170887981,1,0.051559726819868,36.00634331089536,2.400422887393024,223,2,2,3,0.45625,,0,0,0,0,1,1,0,1
R_129jUlsvVcVBDur,1,1,0.0,0.0,0.0154225899532278,0.0,0.0,0.0,1.0,0.6635244664892427,0,0.1728711130918258,4.491866652610291,0.2994577768406861,332,3,3,2,0.4263261296660118,,0,1,0,0,1,1,1,0
R_12DXU1DfwUF0Aq5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7067567915431935,0,0.2219439903295554,16.293836978474705,1.0862557985649803,322,3,2,2,0.5663716814159292,,0,1,0,0,1,0,0,0
R_12EeuI1AdMnuvET,1,1,0.0247950166513152,0.0,0.0,0.0,0.0,0.0,1.0,0.6565076521859845,0,0.1119505262706548,5.603198724864355,0.3735465816576236,333,3,3,3,0.4272211720226843,,0,1,0,0,1,1,1,1
R_12EhwlBIzVNKK2P,0,1,0.0,0.011592918378811,0.0,0.0,0.0,0.0,0.4142857142857143,0.7624829823428718,0,0.2566060372229219,11.01166343863843,0.7341108959092286,323,3,2,3,0.325,,0,1,0,0,0,1,0,1
